VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
[PASS] T2: K1 R1=100  SP1.R1 = 0x0064
[PASS] T3: K1 R1=100  SP2.R1 = 0x0064
[PASS] T4: K1 R1=100  SP3.R1 = 0x0064
[PASS] T5: K1 R2=200  SP0.R2 = 0x00c8
[PASS] T6: K1 R2=200  SP1.R2 = 0x00c8
[PASS] T7: K1 R2=200  SP2.R2 = 0x00c8
[PASS] T8: K1 R2=200  SP3.R2 = 0x00c8
[PASS] T9: K1 R3=300  SP0.R3 = 0x012c
[PASS] T10: K1 R3=300  SP1.R3 = 0x012c
[PASS] T11: K1 R3=300  SP2.R3 = 0x012c
[PASS] T12: K1 R3=300  SP3.R3 = 0x012c

--- K2: Memory LD / ST ---
[PASS] T13: K2 R2=DMEM[10]  SP0.R2 = 0xabcd
[PASS] T14: K2 R2=DMEM[10]  SP1.R2 = 0xabcd
[PASS] T15: K2 R2=DMEM[10]  SP2.R2 = 0xabcd
[PASS] T16: K2 R2=DMEM[10]  SP3.R2 = 0xabcd
[PASS] T17: K2 R3=R2+1  SP0.R3 = 0xabce
[PASS] T18: K2 R3=R2+1  SP1.R3 = 0xabce
[PASS] T19: K2 R3=R2+1  SP2.R3 = 0xabce
[PASS] T20: K2 R3=R2+1  SP3.R3 = 0xabce
[PASS] T21: K2 DMEM[15]=R3  SP0.DMEM[15] = 0xabce
[PASS] T22: K2 DMEM[15]=R3  SP1.DMEM[15] = 0xabce
[PASS] T23: K2 DMEM[15]=R3  SP2.DMEM[15] = 0xabce
[PASS] T24: K2 DMEM[15]=R3  SP3.DMEM[15] = 0xabce

--- K3: Branch (BRA) ---
[PASS] T25: K3 R1=42 (not overwritten)  SP0.R1 = 0x002a
[PASS] T26: K3 R1=42 (not overwritten)  SP1.R1 = 0x002a
[PASS] T27: K3 R1=42 (not overwritten)  SP2.R1 = 0x002a
[PASS] T28: K3 R1=42 (not overwritten)  SP3.R1 = 0x002a
[PASS] T29: K3 R2=55 (after branch)  SP0.R2 = 0x0037
[PASS] T30: K3 R2=55 (after branch)  SP1.R2 = 0x0037
[PASS] T31: K3 R2=55 (after branch)  SP2.R2 = 0x0037
[PASS] T32: K3 R2=55 (after branch)  SP3.R2 = 0x0037

--- K4: MUL + Scoreboard Stall ---
[PASS] T33: K4 R3=3*7=21  SP0.R3 = 0x0015
[PASS] T34: K4 R3=3*7=21  SP1.R3 = 0x0015
[PASS] T35: K4 R3=3*7=21  SP2.R3 = 0x0015
[PASS] T36: K4 R3=3*7=21  SP3.R3 = 0x0015
[PASS] T37: K4 R4=21+3=24  SP0.R4 = 0x0018
[PASS] T38: K4 R4=21+3=24  SP1.R4 = 0x0018
[PASS] T39: K4 R4=21+3=24  SP2.R4 = 0x0018
[PASS] T40: K4 R4=21+3=24  SP3.R4 = 0x0018

--- K5: MOV.TID ---
[PASS] T41: K5 SP0.R1=TID0  SP0.R1 = 0x0000
[PASS] T42: K5 SP1.R1=TID1  SP1.R1 = 0x0001
[PASS] T43: K5 SP2.R1=TID2  SP2.R1 = 0x0002
[PASS] T44: K5 SP3.R1=TID3  SP3.R1 = 0x0003

--- K6: Back-to-back MOVI (no hazard) ---
[PASS] T45: K6 R1=10  SP0.R1 = 0x000a
[PASS] T46: K6 R1=10  SP1.R1 = 0x000a
[PASS] T47: K6 R1=10  SP2.R1 = 0x000a
[PASS] T48: K6 R1=10  SP3.R1 = 0x000a
[PASS] T49: K6 R2=20  SP0.R2 = 0x0014
[PASS] T50: K6 R2=20  SP1.R2 = 0x0014
[PASS] T51: K6 R2=20  SP2.R2 = 0x0014
[PASS] T52: K6 R2=20  SP3.R2 = 0x0014
[PASS] T53: K6 R3=30  SP0.R3 = 0x001e
[PASS] T54: K6 R3=30  SP1.R3 = 0x001e
[PASS] T55: K6 R3=30  SP2.R3 = 0x001e
[PASS] T56: K6 R3=30  SP3.R3 = 0x001e
[PASS] T57: K6 R4=40  SP0.R4 = 0x0028
[PASS] T58: K6 R4=40  SP1.R4 = 0x0028
[PASS] T59: K6 R4=40  SP2.R4 = 0x0028
[PASS] T60: K6 R4=40  SP3.R4 = 0x0028
[PASS] T61: K6 R5=50  SP0.R5 = 0x0032
[PASS] T62: K6 R5=50  SP1.R5 = 0x0032
[PASS] T63: K6 R5=50  SP2.R5 = 0x0032
[PASS] T64: K6 R5=50  SP3.R5 = 0x0032

--- K7: Per-thread LD/ST ---
[PASS] T65: K7 SP0 DMEM[100]  SP0.DMEM[100] = 0xcafe
[PASS] T66: K7 SP1 DMEM[101]  SP1.DMEM[101] = 0xcafe
[PASS] T67: K7 SP2 DMEM[102]  SP2.DMEM[102] = 0xcafe
[PASS] T68: K7 SP3 DMEM[103]  SP3.DMEM[103] = 0xcafe
[PASS] T69: K7 R3=loaded CAFE  SP0.R3 = 0xcafe
[PASS] T70: K7 R3=loaded CAFE  SP1.R3 = 0xcafe
[PASS] T71: K7 R3=loaded CAFE  SP2.R3 = 0xcafe
[PASS] T72: K7 R3=loaded CAFE  SP3.R3 = 0xcafe

--- K8: Logic + Shift ---
[PASS] T73: K8 AND  SP0.R3 = 0x000f
[PASS] T74: K8 AND  SP1.R3 = 0x000f
[PASS] T75: K8 AND  SP2.R3 = 0x000f
[PASS] T76: K8 AND  SP3.R3 = 0x000f
[PASS] T77: K8 OR  SP0.R4 = 0x0fff
[PASS] T78: K8 OR  SP1.R4 = 0x0fff
[PASS] T79: K8 OR  SP2.R4 = 0x0fff
[PASS] T80: K8 OR  SP3.R4 = 0x0fff
[PASS] T81: K8 XOR  SP0.R5 = 0x0ff0
[PASS] T82: K8 XOR  SP1.R5 = 0x0ff0
[PASS] T83: K8 XOR  SP2.R5 = 0x0ff0
[PASS] T84: K8 XOR  SP3.R5 = 0x0ff0
[PASS] T85: K8 SHL 4  SP0.R6 = 0x0ff0
[PASS] T86: K8 SHL 4  SP1.R6 = 0x0ff0
[PASS] T87: K8 SHL 4  SP2.R6 = 0x0ff0
[PASS] T88: K8 SHL 4  SP3.R6 = 0x0ff0
[PASS] T89: K8 SHR 4  SP0.R7 = 0x000f
[PASS] T90: K8 SHR 4  SP1.R7 = 0x000f
[PASS] T91: K8 SHR 4  SP2.R7 = 0x000f
[PASS] T92: K8 SHR 4  SP3.R7 = 0x000f

--- K9: FMA ---
[PASS] T93: K9 FMA 5*6+10=40  SP0.R3 = 0x0028
[PASS] T94: K9 FMA 5*6+10=40  SP1.R3 = 0x0028
[PASS] T95: K9 FMA 5*6+10=40  SP2.R3 = 0x0028
[PASS] T96: K9 FMA 5*6+10=40  SP3.R3 = 0x0028

--- K10: Non-zero entry PC ---
[PASS] T97: K10 R1=0xBEEF  SP0.R1 = 0xbeef
[PASS] T98: K10 R1=0xBEEF  SP1.R1 = 0xbeef
[PASS] T99: K10 R1=0xBEEF  SP2.R1 = 0xbeef
[PASS] T100: K10 R1=0xBEEF  SP3.R1 = 0xbeef
[PASS] T101: K10 R2=0xDEAD  SP0.R2 = 0xdead
[PASS] T102: K10 R2=0xDEAD  SP1.R2 = 0xdead
[PASS] T103: K10 R2=0xDEAD  SP2.R2 = 0xdead
[PASS] T104: K10 R2=0xDEAD  SP3.R2 = 0xdead

--- K11: SUB + NEG + ABS ---
[PASS] T105: K11 SUB 30-50=-20  SP0.R3 = 0xffec
[PASS] T106: K11 SUB 30-50=-20  SP1.R3 = 0xffec
[PASS] T107: K11 SUB 30-50=-20  SP2.R3 = 0xffec
[PASS] T108: K11 SUB 30-50=-20  SP3.R3 = 0xffec
[PASS] T109: K11 NEG(-20)=20  SP0.R4 = 0x0014
[PASS] T110: K11 NEG(-20)=20  SP1.R4 = 0x0014
[PASS] T111: K11 NEG(-20)=20  SP2.R4 = 0x0014
[PASS] T112: K11 NEG(-20)=20  SP3.R4 = 0x0014
[PASS] T113: K11 ABS(-20)=20  SP0.R5 = 0x0014
[PASS] T114: K11 ABS(-20)=20  SP1.R5 = 0x0014
[PASS] T115: K11 ABS(-20)=20  SP2.R5 = 0x0014
[PASS] T116: K11 ABS(-20)=20  SP3.R5 = 0x0014

--- K12: ADDI chain (scoreboard stress) ---
[PASS] T117: K12 ADDI chain R1=4  SP0.R1 = 0x0004
[PASS] T118: K12 ADDI chain R1=4  SP1.R1 = 0x0004
[PASS] T119: K12 ADDI chain R1=4  SP2.R1 = 0x0004
[PASS] T120: K12 ADDI chain R1=4  SP3.R1 = 0x0004

--- K13: MAX / MIN ---
[PASS] T121: K13 MAX(100,200)=200  SP0.R3 = 0x00c8
[PASS] T122: K13 MAX(100,200)=200  SP1.R3 = 0x00c8
[PASS] T123: K13 MAX(100,200)=200  SP2.R3 = 0x00c8
[PASS] T124: K13 MAX(100,200)=200  SP3.R3 = 0x00c8
[PASS] T125: K13 MIN(100,200)=100  SP0.R4 = 0x0064
[PASS] T126: K13 MIN(100,200)=100  SP1.R4 = 0x0064
[PASS] T127: K13 MIN(100,200)=100  SP2.R4 = 0x0064
[PASS] T128: K13 MIN(100,200)=100  SP3.R4 = 0x0064

--- K14: WMMA.LOAD basic ---
[PASS] T129: K14 R4=0x1111  SP0.R4 = 0x1111
[PASS] T130: K14 R4=0x1111  SP1.R4 = 0x1111
[PASS] T131: K14 R4=0x1111  SP2.R4 = 0x1111
[PASS] T132: K14 R4=0x1111  SP3.R4 = 0x1111
[PASS] T133: K14 R5=0x2222  SP0.R5 = 0x2222
[PASS] T134: K14 R5=0x2222  SP1.R5 = 0x2222
[PASS] T135: K14 R5=0x2222  SP2.R5 = 0x2222
[PASS] T136: K14 R5=0x2222  SP3.R5 = 0x2222
[PASS] T137: K14 R6=0x3333  SP0.R6 = 0x3333
[PASS] T138: K14 R6=0x3333  SP1.R6 = 0x3333
[PASS] T139: K14 R6=0x3333  SP2.R6 = 0x3333
[PASS] T140: K14 R6=0x3333  SP3.R6 = 0x3333
[PASS] T141: K14 R7=0x4444  SP0.R7 = 0x4444
[PASS] T142: K14 R7=0x4444  SP1.R7 = 0x4444
[PASS] T143: K14 R7=0x4444  SP2.R7 = 0x4444
[PASS] T144: K14 R7=0x4444  SP3.R7 = 0x4444

--- K15: WMMA.STORE basic ---
[PASS] T145: K15 DMEM[300]=0x1234  SP0.DMEM[300] = 0x1234
[PASS] T146: K15 DMEM[300]=0x1234  SP1.DMEM[300] = 0x1234
[PASS] T147: K15 DMEM[300]=0x1234  SP2.DMEM[300] = 0x1234
[PASS] T148: K15 DMEM[300]=0x1234  SP3.DMEM[300] = 0x1234
[PASS] T149: K15 DMEM[301]=0x5678  SP0.DMEM[301] = 0x5678
[PASS] T150: K15 DMEM[301]=0x5678  SP1.DMEM[301] = 0x5678
[PASS] T151: K15 DMEM[301]=0x5678  SP2.DMEM[301] = 0x5678
[PASS] T152: K15 DMEM[301]=0x5678  SP3.DMEM[301] = 0x5678
[PASS] T153: K15 DMEM[302]=0x9ABC  SP0.DMEM[302] = 0x9abc
[PASS] T154: K15 DMEM[302]=0x9ABC  SP1.DMEM[302] = 0x9abc
[PASS] T155: K15 DMEM[302]=0x9ABC  SP2.DMEM[302] = 0x9abc
[PASS] T156: K15 DMEM[302]=0x9ABC  SP3.DMEM[302] = 0x9abc
[PASS] T157: K15 DMEM[303]=0xDEF0  SP0.DMEM[303] = 0xdef0
[PASS] T158: K15 DMEM[303]=0xDEF0  SP1.DMEM[303] = 0xdef0
[PASS] T159: K15 DMEM[303]=0xDEF0  SP2.DMEM[303] = 0xdef0
[PASS] T160: K15 DMEM[303]=0xDEF0  SP3.DMEM[303] = 0xdef0

--- K16: WMMA.MMA uniform 1*1+0=4.0 ---
[PASS] T161: K16 D=4.0  SP0.R12 = 0x4080
[PASS] T162: K16 D=4.0  SP1.R12 = 0x4080
[PASS] T163: K16 D=4.0  SP2.R12 = 0x4080
[PASS] T164: K16 D=4.0  SP3.R12 = 0x4080
[PASS] T165: K16 D=4.0  SP0.R13 = 0x4080
[PASS] T166: K16 D=4.0  SP1.R13 = 0x4080
[PASS] T167: K16 D=4.0  SP2.R13 = 0x4080
[PASS] T168: K16 D=4.0  SP3.R13 = 0x4080
[PASS] T169: K16 D=4.0  SP0.R14 = 0x4080
[PASS] T170: K16 D=4.0  SP1.R14 = 0x4080
[PASS] T171: K16 D=4.0  SP2.R14 = 0x4080
[PASS] T172: K16 D=4.0  SP3.R14 = 0x4080
[PASS] T173: K16 D=4.0  SP0.R15 = 0x4080
[PASS] T174: K16 D=4.0  SP1.R15 = 0x4080
[PASS] T175: K16 D=4.0  SP2.R15 = 0x4080
[PASS] T176: K16 D=4.0  SP3.R15 = 0x4080

--- K17: WMMA.MMA 2*3+1=25.0 ---
[PASS] T177: K17 D=25.0  SP0.R12 = 0x41c8
[PASS] T178: K17 D=25.0  SP1.R12 = 0x41c8
[PASS] T179: K17 D=25.0  SP2.R12 = 0x41c8
[PASS] T180: K17 D=25.0  SP3.R12 = 0x41c8
[PASS] T181: K17 D=25.0  SP0.R13 = 0x41c8
[PASS] T182: K17 D=25.0  SP1.R13 = 0x41c8
[PASS] T183: K17 D=25.0  SP2.R13 = 0x41c8
[PASS] T184: K17 D=25.0  SP3.R13 = 0x41c8
[PASS] T185: K17 D=25.0  SP0.R14 = 0x41c8
[PASS] T186: K17 D=25.0  SP1.R14 = 0x41c8
[PASS] T187: K17 D=25.0  SP2.R14 = 0x41c8
[PASS] T188: K17 D=25.0  SP3.R14 = 0x41c8
[PASS] T189: K17 D=25.0  SP0.R15 = 0x41c8
[PASS] T190: K17 D=25.0  SP1.R15 = 0x41c8
[PASS] T191: K17 D=25.0  SP2.R15 = 0x41c8
[PASS] T192: K17 D=25.0  SP3.R15 = 0x41c8

--- K18: WMMA LOAD->MMA->STORE ---
[PASS] T193: K18 D=2.0  SP0.R12 = 0x4000
[PASS] T194: K18 D=2.0  SP1.R12 = 0x4000
[PASS] T195: K18 D=2.0  SP2.R12 = 0x4000
[PASS] T196: K18 D=2.0  SP3.R12 = 0x4000
[PASS] T197: K18 D=2.0  SP0.R13 = 0x4000
[PASS] T198: K18 D=2.0  SP1.R13 = 0x4000
[PASS] T199: K18 D=2.0  SP2.R13 = 0x4000
[PASS] T200: K18 D=2.0  SP3.R13 = 0x4000
[PASS] T201: K18 DMEM=2.0  SP0.DMEM[300] = 0x4000
[PASS] T202: K18 DMEM=2.0  SP1.DMEM[300] = 0x4000
[PASS] T203: K18 DMEM=2.0  SP2.DMEM[300] = 0x4000
[PASS] T204: K18 DMEM=2.0  SP3.DMEM[300] = 0x4000
[PASS] T205: K18 DMEM=2.0  SP0.DMEM[301] = 0x4000
[PASS] T206: K18 DMEM=2.0  SP1.DMEM[301] = 0x4000
[PASS] T207: K18 DMEM=2.0  SP2.DMEM[301] = 0x4000
[PASS] T208: K18 DMEM=2.0  SP3.DMEM[301] = 0x4000

--- K19: MMA zero passthrough ---
[PASS] T209: K19 D=5.0  SP0.R12 = 0x40a0
[PASS] T210: K19 D=5.0  SP1.R12 = 0x40a0
[PASS] T211: K19 D=5.0  SP2.R12 = 0x40a0
[PASS] T212: K19 D=5.0  SP3.R12 = 0x40a0

--- K20: MMA negative -1*2+0=-8.0 ---
[PASS] T213: K20 D=-8.0  SP0.R12 = 0xc100
[PASS] T214: K20 D=-8.0  SP1.R12 = 0xc100
[PASS] T215: K20 D=-8.0  SP2.R12 = 0xc100
[PASS] T216: K20 D=-8.0  SP3.R12 = 0xc100

--- K21: MMA mixed 1*1+(-2)=2.0 ---
[PASS] T217: K21 D=2.0  SP0.R12 = 0x4000
[PASS] T218: K21 D=2.0  SP1.R12 = 0x4000
[PASS] T219: K21 D=2.0  SP2.R12 = 0x4000
[PASS] T220: K21 D=2.0  SP3.R12 = 0x4000

--- K22: MMA fractional 0.5*0.5+0=1.0 ---
[PASS] T221: K22 D=1.0  SP0.R12 = 0x3f80
[PASS] T222: K22 D=1.0  SP1.R12 = 0x3f80
[PASS] T223: K22 D=1.0  SP2.R12 = 0x3f80
[PASS] T224: K22 D=1.0  SP3.R12 = 0x3f80

--- K23: Chained MMA D1=4.0, D2=16.0 ---
[PASS] T225: K23 D1=4.0  SP0.R12 = 0x4080
[PASS] T226: K23 D1=4.0  SP1.R12 = 0x4080
[PASS] T227: K23 D1=4.0  SP2.R12 = 0x4080
[PASS] T228: K23 D1=4.0  SP3.R12 = 0x4080
[PASS] T229: K23 D2=16.0  SP0.R0 = 0x4180
[PASS] T230: K23 D2=16.0  SP1.R0 = 0x4180
[PASS] T231: K23 D2=16.0  SP2.R0 = 0x4180
[PASS] T232: K23 D2=16.0  SP3.R0 = 0x4180

--- K24: Per-thread SIMT diag(2)*3+1=7.0 ---
[PASS] T233: K24 D=7.0  SP0.R12 = 0x40e0
[PASS] T234: K24 D=7.0  SP1.R12 = 0x40e0
[PASS] T235: K24 D=7.0  SP2.R12 = 0x40e0
[PASS] T236: K24 D=7.0  SP3.R12 = 0x40e0

--- K25: PTX K1 vec_add int16 ---
[PASS] T237: K25 SP0 C=10+5  SP0.DMEM[32] = 0x000f
[PASS] T238: K25 SP1 C=20+15  SP1.DMEM[34] = 0x0023
[PASS] T239: K25 SP2 C=30+25  SP2.DMEM[36] = 0x0037
[PASS] T240: K25 SP3 C=40+35  SP3.DMEM[38] = 0x004b

--- K26: PTX K2 vec_sub int16 ---
[PASS] T241: K26 SP0 C=100-30  SP0.DMEM[32] = 0x0046
[PASS] T242: K26 SP1 C=200-50  SP1.DMEM[34] = 0x0096
[PASS] T243: K26 SP2 C=300-100  SP2.DMEM[36] = 0x00c8
[PASS] T244: K26 SP3 C=400-150  SP3.DMEM[38] = 0x00fa

--- K27: PTX K3 bf16_vector_mul ---
[PASS] T245: K27 MUL.f 2*3=6.0  SP0.R7 = 0x40c0
[PASS] T246: K27 MUL.f 2*3=6.0  SP1.R7 = 0x40c0
[PASS] T247: K27 MUL.f 2*3=6.0  SP2.R7 = 0x40c0
[PASS] T248: K27 MUL.f 2*3=6.0  SP3.R7 = 0x40c0

--- K28: PTX K4 bf16_fma ---
[PASS] T249: K28 FMA.f 2*3+1=7.0  SP0.R7 = 0x40e0
[PASS] T250: K28 FMA.f 2*3+1=7.0  SP1.R7 = 0x40e0
[PASS] T251: K28 FMA.f 2*3+1=7.0  SP2.R7 = 0x40e0
[PASS] T252: K28 FMA.f 2*3+1=7.0  SP3.R7 = 0x40e0

--- K29: PTX K5 relu bf16 ---
[PASS] T253: K29 SP0 relu(-1)=0  SP0.R6 = 0x0000
[PASS] T254: K29 SP1 relu(2)=2.0  SP1.R6 = 0x4000
[PASS] T255: K29 SP2 relu(-3)=0  SP2.R6 = 0x0000
[PASS] T256: K29 SP3 relu(5)=5.0  SP3.R6 = 0x40a0

--- K30: PTX K6 wmma_bf16 matmul ---
[PASS] T257: K30 D=2.0  SP0.R12 = 0x4000
[PASS] T258: K30 D=2.0  SP1.R12 = 0x4000
